"Username";"Nom utilisateur"
"Password";"Mot de passe"
"login";"Authentification"
"The username and/or password is invalid.";"Le nom utilisateur et/ou le mot de passe sont invalides"
"This field is required.";"Ce champ est requis."
"Remember me";"Se souvenir de moi"
"connexion statistics";"statistiques des connexions"
