"module_dashboard";"bureau"
"dashboard";"bureau"
"Page not found";"Page non trouvée"
"Error 404 : The page is not available";"Erreur 404 : La page demandée n'est pas disponible"
"cancel";"annuler"
"[0]no data|[1]one data|(1,+Inf]%s data";"[0]aucune donnée|[1]Une donnée|(1,+Inf]%s données"
"file [{value}] doesn't exist";"Le fichier [{value}] n'existe pas"
"the file [{value}] is invalid";"le fichier [{value}] n'est pas valide"
"Logs file [#0#.log] will be deleted. Confirm ?";"Le fichier logs [#0#.log] va être effacé. Confirmez ?"
